position (in), load (lbf)
0.4090873, -0.1999998, 
0.6222889, 0.5, 
0.8787802, 1.3, 
1.180725, 2.6, 
1.525961, 3.7, 
1.888511, 5.1, 
2.245651, 6.7, 
2.596297, 8.2, 
2.941532, 9.8, 
3.281356, 11.0, 
3.616851, 12.2, 
3.945852, 13.2, 
4.270525, 14.1, 
4.588704, 15.2, 
4.902554, 16.4, 
4.999956, 17.3, 
